Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list
1735543306,0.000000,72.137052,0,-11481.332666,-232.257321,0
1735546954,60.800000,72.454333,0,-11466.323278,-233.584223,0
1735553033,162.116667,71.793738,0,-11397.471510,-232.852753,0
1735561544,303.966667,71.553263,0,-11223.533227,-235.669385,0
1735563974,344.466667,69.437809,0,-11056.422502,-232.158562,0
1735565189,364.716667,71.514580,0,-11126.570655,-237.594610,0
1735566404,384.966667,70.056570,0,-11152.324416,-232.213145,0
1735568835,425.483333,69.324562,0,-11038.095781,-232.164761,0
1735570050,445.733333,68.106223,0,-10995.200665,-228.974416,0
1735572480,486.233333,68.918603,0,-10977.802435,-232.072871,0
1735573696,506.500000,69.039970,0,-10892.050409,-234.311862,0
1735580986,628.000000,71.635243,0,-11280.174768,-234.754665,0
1735582202,648.266667,71.486134,0,-11235.375054,-235.200132,0
1735585847,709.016667,70.713491,0,-11066.250510,-236.213712,0
1735590708,790.033333,71.795534,0,-11363.649635,-233.551640,0
1735594353,850.783333,71.647225,0,-11303.128334,-234.317131,0
1735596784,891.300000,72.727054,0,-11389.103736,-236.053135,0
1735605291,1033.083333,71.032850,0,-11167.766177,-235.123615,0
1735607721,1073.583333,70.926741,0,-11359.060319,-230.818664,0
1735608936,1093.833333,70.896297,0,-11298.740946,-231.951307,0
1735613797,1174.850000,69.152299,0,-11138.663925,-229.496912,0
1735615012,1195.100000,70.293974,0,-11189.128557,-232.233653,0
1735616227,1215.350000,70.789416,0,-11180.071021,-234.059942,0
1735621088,1296.366667,69.203934,0,-11118.557771,-230.083592,0
1735622303,1316.616667,70.666543,0,-11178.376410,-233.689090,0
1735623518,1336.866667,69.386973,0,-11015.477710,-232.850903,0
1735624733,1357.116667,69.744836,0,-11135.978969,-231.519183,0
1736388654,14089.133333,64.770582,0,-10361.754538,-231.072265,0
1736395948,14210.700000,64.829303,0,-10215.141620,-234.601231,0
1736397163,14230.950000,65.977471,0,-10481.974191,-232.678311,0
1736403241,14332.250000,65.276674,0,-10317.042463,-233.887021,0
1736406888,14393.033333,65.112378,0,-10449.262736,-230.346293,0
1736409319,14433.550000,64.429850,0,-10357.776651,-229.944965,0
1736410535,14453.816667,63.547942,0,-10317.285054,-227.687602,0
1736411750,14474.066667,64.792326,0,-10228.842396,-234.153368,0
1736414181,14514.583333,63.907155,0,-10276.109492,-229.892118,0
1736417828,14575.366667,64.114306,0,-10341.833018,-229.171575,0
1736420259,14615.883333,65.450432,0,-10450.714744,-231.510051,0
1736423906,14676.666667,65.172818,0,-10404.167458,-231.559438,0
1736427553,14737.450000,65.409438,0,-10475.922550,-230.808322,0
1736432415,14818.483333,65.313859,0,-10418.015967,-231.752084,0
1736433630,14838.733333,64.533863,0,-10386.979471,-229.668649,0
1736434846,14859.000000,64.579255,0,-10353.462386,-230.574217,0
1736437277,14899.516667,64.124705,0,-10265.145104,-230.921098,0
1736438492,14919.766667,65.432093,0,-10439.748975,-231.688286,0
1736439708,14940.033333,65.057616,0,-10450.095759,-230.134217,0
1736440924,14960.300000,65.545131,0,-10471.099004,-231.393680,0
1736443355,15000.816667,65.735984,0,-10509.886899,-231.210976,0
1736445786,15041.333333,66.519463,0,-10519.101815,-233.761724,0
1736447002,15061.600000,64.597005,0,-10407.147478,-229.447851,0
1736448217,15081.850000,63.800176,0,-10381.345205,-227.180771,0
1736449433,15102.116667,65.634943,0,-10361.314340,-234.165865,0
1736450649,15122.383333,65.360762,0,-10428.542238,-231.684419,0
1736454296,15183.166667,64.318296,0,-10406.117446,-228.480494,0
1736456727,15223.683333,66.397877,0,-10509.140830,-233.555609,0
1736459158,15264.200000,65.737846,0,-10529.127514,-230.795007,0
1736467666,15406.000000,64.955306,0,-10505.304861,-228.564772,0
1736468881,15426.250000,65.027053,0,-10319.898920,-232.928138,0
1736470096,15446.500000,67.029304,0,-10614.880210,-233.427991,0
1736471311,15466.750000,65.205396,0,-10443.215702,-230.808931,0
1736472525,15486.983333,67.074977,0,-10617.973635,-233.518996,0
1736473740,15507.233333,65.229154,0,-10464.348869,-230.426733,0
1736474955,15527.483333,65.499734,0,-10417.444341,-232.424374,0
1736476170,15547.733333,65.109038,0,-10535.408102,-228.451093,0
1736477384,15567.966667,64.707951,0,-10415.656046,-229.654171,0
1736478599,15588.216667,65.801595,0,-10455.877845,-232.637245,0
1736481029,15628.716667,65.603132,0,-10417.043567,-232.800235,0
1736482244,15648.966667,65.324727,0,-10357.958622,-233.134610,0
1736483458,15669.200000,65.961819,0,-10407.523551,-234.287191,0
1736484673,15689.450000,65.525653,0,-10379.197963,-233.373150,0
1736485888,15709.700000,65.078625,0,-10376.580210,-231.839507,0
1736487102,15729.933333,64.818905,0,-10310.233660,-232.400203,0
1736488317,15750.183333,65.798047,0,-10452.813490,-232.692896,0
1736489532,15770.433333,65.004853,0,-10338.728767,-232.424529,0
1736490747,15790.683333,64.596452,0,-10389.107387,-229.844308,0
1736491962,15810.933333,65.856695,0,-10512.837405,-231.570539,0
1736493177,15831.183333,64.896821,0,-10535.591199,-227.702520,0
1736494391,15851.416667,65.454937,0,-10456.365339,-231.400868,0
1736495606,15871.666667,64.711738,0,-10490.047437,-228.038900,0
1736496821,15891.916667,64.984285,0,-10534.551613,-228.031905,0
1736498036,15912.166667,64.710748,0,-10369.423821,-230.688059,0
1736499251,15932.416667,66.983699,0,-10623.615994,-233.077357,0
1736500465,15952.650000,66.876596,0,-10679.280524,-231.491732,0
1736501680,15972.900000,64.392748,0,-10399.087275,-228.899615,0
1736502895,15993.150000,64.995472,0,-10522.072772,-228.341644,0
1736504110,16013.400000,65.951259,0,-10629.077155,-229.366959,0
1736505324,16033.633333,65.574193,0,-10449.360788,-231.977868,0
1736506539,16053.883333,67.009061,0,-10628.471697,-233.059084,0
1736507754,16074.133333,66.787414,0,-10597.153906,-232.974672,0
1736508969,16094.383333,65.997698,0,-10537.965689,-231.512974,0
1736510184,16114.633333,66.523856,0,-10701.044428,-229.802407,0
1736511398,16134.866667,66.673156,0,-10572.210591,-233.124830,0
1736512613,16155.116667,66.318889,0,-10542.763068,-232.533817,0
1736513828,16175.366667,67.020947,0,-10674.417710,-232.097089,0
1736515043,16195.616667,65.264698,0,-10538.184768,-228.936927,0
1736516258,16215.866667,66.297839,0,-10658.323191,-229.939619,0
1736517472,16236.100000,65.674849,0,-10705.935522,-226.765920,0
1736518687,16256.350000,65.055171,0,-10427.588398,-230.622282,0
1736519902,16276.600000,66.625388,0,-10533.482851,-233.814306,0
1736521117,16296.850000,65.405362,0,-10542.525789,-229.335878,0
1736522331,16317.083333,64.599898,0,-10451.381836,-228.486973,0
1736523546,16337.333333,65.433051,0,-10496.680649,-230.435035,0
1736524761,16357.583333,66.584685,0,-10446.410182,-235.619157,0
1736527190,16398.066667,66.414120,0,-10435.593486,-235.259188,0
1736528405,16418.316667,66.096667,0,-10612.065589,-230.241158,0
1736529620,16438.566667,66.437723,0,-10535.442326,-233.112355,0
1736530835,16458.816667,65.228522,0,-10501.899609,-229.600589,0
1736532049,16479.050000,66.024434,0,-10603.520060,-230.174892,0
1736533264,16499.300000,65.778744,0,-10553.584142,-230.403421,0
1736534479,16519.550000,65.964519,0,-10507.101639,-232.076299,0
1736535694,16539.800000,66.136472,0,-10476.587288,-233.358976,0
1736536909,16560.050000,65.875270,0,-10502.537517,-231.863022,0
1736538124,16580.300000,67.189590,0,-10478.815667,-237.024431,0
1736539339,16600.550000,66.723391,0,-10486.515895,-235.206985,0
1736540553,16620.783333,66.616798,0,-10543.110520,-233.570678,0
1736541768,16641.033333,66.064079,0,-10529.699478,-231.927758,0
1736542983,16661.283333,66.917284,0,-10616.128726,-233.010479,0
1736544197,16681.516667,66.492163,0,-10534.502536,-233.324182,0
1736545412,16701.766667,66.316703,0,-10560.652817,-232.132252,0
1736546627,16722.016667,66.003748,0,-10496.735969,-232.443630,0
1736547842,16742.266667,65.962688,0,-10530.841800,-231.546692,0
1736549057,16762.516667,66.758197,0,-10578.143592,-233.291258,0
1736550272,16782.766667,66.639107,0,-10567.781766,-233.103425,0
1736551487,16803.016667,67.266193,0,-10692.651903,-232.549145,0
1736552701,16823.250000,65.767082,0,-10559.116442,-230.241876,0
1736553916,16843.500000,66.400093,0,-10588.369243,-231.815748,0
1736555131,16863.750000,67.021697,0,-10613.938318,-233.422213,0
1736556346,16884.000000,66.885072,0,-10662.647225,-231.882235,0
1736557560,16904.233333,66.170052,0,-10532.628448,-232.235195,0
1736558775,16924.483333,66.337767,0,-10634.503973,-230.593431,0
1736559990,16944.733333,66.547028,0,-10616.982650,-231.702584,0
1736561205,16964.983333,65.548385,0,-10464.950343,-231.541128,0
1736562420,16985.233333,66.651454,0,-10594.147175,-232.566389,0
1736563635,17005.483333,66.738676,0,-10551.780950,-233.805727,0
1736564849,17025.716667,65.685549,0,-10506.858097,-231.100184,0
1736566064,17045.966667,66.373861,0,-10650.515840,-230.372038,0
1736567279,17066.216667,66.340367,0,-10669.246036,-229.851564,0
1736568494,17086.466667,65.783890,0,-10566.355416,-230.142940,0
1736569709,17106.716667,66.211488,0,-10607.006351,-230.751133,0
1736570923,17126.950000,65.375110,0,-10504.372382,-230.062401,0
1736572138,17147.200000,66.590622,0,-10634.798417,-231.465961,0
1736573353,17167.450000,65.613341,0,-10486.161236,-231.301765,0
1736574568,17187.700000,65.275315,0,-10476.742531,-230.317016,0
1736575783,17207.950000,65.291939,0,-10519.245950,-229.444833,0
1736576998,17228.200000,66.422569,0,-10555.582980,-232.614493,0
1736578213,17248.450000,65.610468,0,-10483.600553,-231.348131,0
1736579427,17268.683333,66.044674,0,-10541.150048,-231.607771,0
1736580642,17288.933333,65.677936,0,-10435.119081,-232.661974,0
1736581857,17309.183333,66.136971,0,-10519.458948,-232.409683,0
1736583072,17329.433333,66.174227,0,-10456.822430,-233.933524,0
1736584287,17349.683333,66.452197,0,-10548.268023,-232.879636,0
1736585502,17369.933333,66.002276,0,-10524.817930,-231.818261,0
1736586717,17390.183333,66.273248,0,-10653.938482,-229.948932,0
1736587932,17410.433333,64.678907,0,-10493.121031,-227.856442,0
1736589147,17430.683333,66.733289,0,-10620.527464,-232.273555,0
1736590361,17450.916667,66.622496,0,-10484.249561,-234.902084,0
1736591576,17471.166667,66.996887,0,-10621.659914,-233.166180,0
1736592791,17491.416667,65.724069,0,-10511.880383,-231.125229,0
1736594006,17511.666667,66.994940,0,-10696.184832,-231.534882,0
1736595221,17531.916667,65.465793,0,-10592.923247,-228.455666,0
1736596436,17552.166667,66.047207,0,-10477.778254,-233.017521,0
1736597651,17572.416667,65.397104,0,-10525.906421,-229.668977,0
1736598866,17592.666667,65.748171,0,-10475.173465,-232.020188,0
1736600081,17612.916667,65.743216,0,-10423.575412,-233.151147,0
1736601296,17633.166667,66.338481,0,-10684.369691,-229.519686,0
1736602510,17653.400000,65.359492,0,-10485.338491,-230.424967,0
1736603725,17673.650000,64.911627,0,-10470.336274,-229.173918,0
1736604940,17693.900000,66.258371,0,-10544.815190,-232.276409,0
1736606155,17714.150000,63.716307,0,-10239.697139,-230.020641,0
1736607370,17734.400000,63.690229,0,-10290.749933,-228.785822,0
1736608585,17754.650000,65.020995,0,-10351.279227,-232.200371,0
1736609800,17774.900000,64.326382,0,-10312.052394,-230.593645,0
1736611015,17795.150000,64.380485,0,-10330.723361,-230.370483,0
1736612229,17815.383333,65.039066,0,-10375.444172,-231.723948,0
1736613444,17835.633333,64.395574,0,-10351.970345,-229.951540,0
1736614659,17855.883333,63.659819,0,-10281.635331,-228.879305,0
1736615873,17876.116667,64.919065,0,-10345.532322,-231.965146,0
1736617088,17896.366667,63.512707,0,-10299.716327,-227.949521,0
1736618303,17916.616667,64.260715,0,-10296.822243,-230.698972,0
1736619518,17936.866667,64.248123,0,-10382.971157,-228.740002,0
1736620733,17957.116667,64.903417,0,-10321.529624,-232.448538,0
1736621948,17977.366667,64.576294,0,-10347.581504,-230.694682,0
1736623162,17997.600000,64.234451,0,-10350.774440,-229.402683,0
1736624377,18017.850000,64.867923,0,-10468.439193,-229.061122,0
1736625592,18038.100000,65.247086,0,-10462.922852,-230.521491,0
1736626807,18058.350000,64.431198,0,-10405.049680,-228.905048,0
1736628022,18078.600000,64.848275,0,-10522.240334,-227.820884,0
1736629237,18098.850000,65.363544,0,-10458.276988,-231.035532,0
1736630451,18119.083333,66.337520,0,-10595.738720,-231.436214,0
1736631666,18139.333333,66.433924,0,-10503.733272,-233.802711,0
1736632881,18159.583333,66.263392,0,-10578.756931,-231.548699,0
1736634096,18179.833333,66.425670,0,-10533.711751,-233.108353,0
1736635311,18200.083333,65.593491,0,-10444.882930,-232.145618,0
1736636526,18220.333333,66.382899,0,-10646.793478,-230.483961,0
1736637741,18240.583333,66.618679,0,-10630.907624,-231.648235,0
1736638956,18260.833333,65.871768,0,-10586.404158,-230.013949,0
1736640171,18281.083333,66.055368,0,-10494.818449,-232.667920,0
1736641386,18301.333333,66.251605,0,-10677.639040,-229.363596,0
1736642601,18321.583333,66.439558,0,-10621.470852,-231.230649,0
1736643816,18341.833333,65.796635,0,-10624.525581,-228.927235,0
1736645030,18362.066667,65.969360,0,-10594.867042,-230.170723,0
1736646246,18382.333333,65.992101,0,-10509.523543,-232.119833,0
1736647461,18402.583333,66.603481,0,-10618.231144,-231.871877,0
1736648676,18422.833333,66.848267,0,-10631.319536,-232.437559,0
1736649891,18443.083333,65.709731,0,-10455.665060,-232.317192,0
1736651106,18463.333333,66.410182,0,-10638.875079,-230.750307,0
1736652320,18483.566667,66.810487,0,-10681.687308,-231.210790,0
1736653536,18503.833333,66.529133,0,-10547.418194,-233.168040,0
1736654751,18524.083333,65.504824,0,-10479.816316,-231.059026,0
1736655965,18544.316667,65.863236,0,-10589.522448,-229.916432,0
1736657180,18564.566667,66.353699,0,-10634.853697,-230.641229,0
1736658395,18584.816667,66.189776,0,-10563.618672,-231.622911,0
1736659610,18605.066667,67.117577,0,-10692.521674,-232.038183,0
1736660824,18625.300000,66.620106,0,-10717.470107,-229.782189,0
